Title,listing_url,service_level,accom_type,max_guest,no_bedroom,no_bed,no_bathroom,_3c0zz14,_3c0zz15,_3c0zz16,_3c0zz17,rating,no_review,price,_tt122m
#14 Wooden Villa with Private Pool,https://www.airbnb.com/rooms/24644792?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Kabupaten Gianyar,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.92,(13 reviews),$72,$361 total
"Villa Tania, Nang Locong",https://www.airbnb.com/rooms/34103400?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.89,(98 reviews),$80,$401 total
Bamboo Eco Hut - Eco home in ubud with great view!,https://www.airbnb.com/rooms/21917441?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Hut in Sukawati,4 guests,1 bedroom,1 bed,1 bath,Wifi,,,,4.81,(178 reviews),$28,$140 total
50% OFF | Ipian Jiwa Eco Bamboo Uniquely Escape,https://www.airbnb.com/rooms/47481030?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Hut in Ubud,2 guests,1 bedroom,1 bed,1 bath,Wifi,,,,4.90,(10 reviews),$45,$226 total
Ubud | STERILIZED Villa w/ Jungle View 🌱🌤🌿,https://www.airbnb.com/rooms/42769205?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,,,$24,$122 total
Ceylon Villas 3 - NEW 1BR Villa! 5 mins to Ubud 🌴,https://www.airbnb.com/rooms/33700719?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.92,(74 reviews),$119,$607 total
Kabinawa Private Villa Set Amidst Rice Fields,https://www.airbnb.com/rooms/plus/23983181?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,PLUS,Entire rental unit in Tegalalang,2 guests,1 bedroom,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.75,(105 reviews),$41,$203 total
"Villa Leroy,  Tranquility of Rural Nature",https://www.airbnb.com/rooms/10127631?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,2.5 baths,Pool,Wifi,Air conditioning,Kitchen,4.89,(337 reviews),$128,$640 total
Candy Villa / Villa Mint,https://www.airbnb.com/rooms/21914664?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.67,(91 reviews),$82,$412 total
Bali Nara House - with jungle view,https://www.airbnb.com/rooms/46340331?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 shared baths,Wifi,Air conditioning,,,5.0,(16 reviews),$12,$58 total
One Bedroom Villa with private pool and kitchen,https://www.airbnb.com/rooms/52161869?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$80,$401 total
TAMYANG UBUD VILLAS with PRIVATE POOL,https://www.airbnb.com/rooms/23328217?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ab28a238-0fc4-4ca9-82a6-a0719c467149,SUPERHOST,Entire villa in Kabupaten Gianyar,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,4.59,(128 reviews),$41,$204 total
Secluded jungle villa w private pool & serene view,https://www.airbnb.com/rooms/20562498?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Hut in Ubud,2 guests,2 bedrooms,3 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.88,(73 reviews),$54,$292 total
1BR quiet Ubud affordable pool garden view,https://www.airbnb.com/rooms/40142513?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Private room in Kecamatan Ubud,3 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.67,(15 reviews),$19,$93 total
Refurbished Villa Surrounded by Palm Trees Near Ubud,https://www.airbnb.com/rooms/plus/33297525?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,PLUS,Private room in Ubud,2 guests,1 private bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.70,(108 reviews),$48,$241 total
NEW Modern Stylish Chic Villa in Ubud Rice Fields,https://www.airbnb.com/rooms/41092526?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,,,$69,$371 total
70% OFF | Wooden Villas Amid Lush Tropical Vibes,https://www.airbnb.com/rooms/47481297?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Hut in Ubud,2 guests,1 bedroom,1 bed,1 bath,Wifi,Air conditioning,,,,,$26,$129 total
Candy Villa / Villa Lemon,https://www.airbnb.com/rooms/21916428?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.70,(68 reviews),$80,$400 total
Peaceful Satya Villa Hideaway Near Center of Ubud,https://www.airbnb.com/rooms/plus/31067102?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,PLUS,Entire villa in Banjar Kutuh kaja,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.79,(147 reviews),$102,$509 total
Ceylon Villas 1 - NEW 2BR Villa! 5 mins to Ubud 🌴,https://www.airbnb.com/rooms/33623371?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire villa in Tampaksiring,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.91,(111 reviews),$175,$887 total
Honeymoon Jungle and Pool View  Room at Ubud,https://www.airbnb.com/rooms/41541717?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$70,$263 total
DDjuglevilla 1,https://www.airbnb.com/rooms/51779392?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Resort room in Kecamatan Tegallalang,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$24,$121 total
House Pino 1 story in UBUD,https://www.airbnb.com/rooms/17594629?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire townhouse in Ubud,2 guests,1 bedroom,1 bed,1 bath,Wifi,Air conditioning,Kitchen,,4.88,(171 reviews),$23,$114 total
1br PRIVATE POOL w/RiceFields -7min to Ubud Center,https://www.airbnb.com/rooms/51511823?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$90,$450 total
Suite room at the center of Ubud,https://www.airbnb.com/rooms/52214693?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$60,$300 total
Peaceful Private villa jungle and river view,https://www.airbnb.com/rooms/42282503?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire villa in Kecamatan Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,5.0,(4 reviews),$64,$321 total
Sunshine One bed room with private pool,https://www.airbnb.com/rooms/32620623?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 shared bath,Pool,Wifi,Air conditioning,,,,$36,$165 total
One bedroom pool villa with valley view,https://www.airbnb.com/rooms/46908324?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,5.0,(3 reviews),$39,$197 total
Ultimate Serene Cottage with Ubud Jungle Vibe,https://www.airbnb.com/rooms/36539552?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,Kitchen,4.60,(86 reviews),$33,$165 total
Infinity Pool Villa - Stunning Rice Terrace Vew,https://www.airbnb.com/rooms/44617611?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire villa in Payangan,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$161,$807 total
Laze on the Poolside Day Bed at an Earthy-Hued Cliffside Pad,https://www.airbnb.com/rooms/plus/33233189?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,PLUS,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.93,(41 reviews),$121,$611 total
20% - Rice Field View 1BR Private Pool Villa,https://www.airbnb.com/rooms/52045993?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=44e22ecf-1001-47d2-9b78-2c18e223c1a5,SUPERHOST,Entire villa in Tegallalang,2 guests,1 bedroom,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$72,$361 total
5BR NAUTILUS TREEHOUSE private quiet amid nature,https://www.airbnb.com/rooms/19365970?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Treehouse in Ubud,16 guests,5 bedrooms,7 beds,5.5 baths,Pool,Wifi,Air conditioning,Kitchen,4.72,(153 reviews),$198,"$1,009 total"
Amazing 1 BDR Villa with Private Pool Ubud Central,https://www.airbnb.com/rooms/50923238?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,,,$256,"$1,280 total"
Peace and Quiet in Ubud.,https://www.airbnb.com/rooms/21154806?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire place in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Kitchen,,4.76,(59 reviews),$17,$72 total
Homey 1BR Villa with Private Pool,https://www.airbnb.com/rooms/51647560?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$63,$313 total
Royal private pool villa with kitchenette,https://www.airbnb.com/rooms/46263915?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Entire villa in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,,,$75,$377 total
Beautiful Room Near Ubud Market - Large Pool,https://www.airbnb.com/rooms/17592869?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Hotel room in Ubud,2 guests,1 bedroom,0 beds,1 private bath,Wifi,Air conditioning,,,4.62,(182 reviews),$23,$113 total
Charming and Stylish Ubud Bungalow with Private Pool & Sala,https://www.airbnb.com/rooms/plus/29730145?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,PLUS,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.98,(44 reviews),$200,"$1,001 total"
✦ ✦ HOUSE with PRIVATE POOL  ✦✦ SPECIAL PRICE,https://www.airbnb.com/rooms/35077456?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire villa in Kecamatan Ubud,3 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.24,(34 reviews),$68,$340 total
Look Out Across Beautiful Rice Fields From a Chic Villa,https://www.airbnb.com/rooms/plus/32388197?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,PLUS,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.96,(74 reviews),$193,$985 total
Unique above street apt. Ubud centre “LightHouse”,https://www.airbnb.com/rooms/32480378?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire rental unit in Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Wifi,Air conditioning,Kitchen,,4.84,(45 reviews),$48,$249 total
Architect Remodeled Cool House in Hip Ubud Area,https://www.airbnb.com/rooms/188130?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire residential home in Ubud,3 guests,1 bedroom,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.67,(152 reviews),$59,$306 total
One bedroom with rice field view,https://www.airbnb.com/rooms/46760032?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Room in boutique hotel in Ubud,2 guests,1 bedroom,1 bed,1 private bath,Wifi,Air conditioning,Kitchen,,4.75,(4 reviews),$60,$298 total
Opening Promo! 2BR Private Pool Amazing View,https://www.airbnb.com/rooms/50217792?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Entire villa in Kecamatan Ubud,5 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,,,$107,$536 total
Architect Designed Studios/Lotus 1,https://www.airbnb.com/rooms/14827540?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire rental unit in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Kitchen,,4.73,(131 reviews),$34,$175 total
ONE BEDROOM PRIVATE VILLA,https://www.airbnb.com/rooms/38702604?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Entire villa in Kecamatan Tegallalang,2 guests,1 bedroom,1 bed,1 bath,Wifi,Air conditioning,Kitchen,,4.90,(29 reviews),$25,$103 total
GrahaSandat—Luxurious Pool Villa in Center of Ubud,https://www.airbnb.com/rooms/plus/23617053?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,PLUS,Entire residential home in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.75,(106 reviews),$112,$558 total
Gathering style With Private Pool in Ubud,https://www.airbnb.com/rooms/50054831?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,SUPERHOST,Room in boutique hotel in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,,,$88,$440 total
Malaya Antique Villa with Ricefield View,https://www.airbnb.com/rooms/33599189?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Private room in Tegallalang,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.91,(23 reviews),$63,$313 total
Premier Room with View in the Heart of Ubud,https://www.airbnb.com/rooms/50777472?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Resort room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,,,$25,$115 total
One Bedroom Private Pool with kitchen,https://www.airbnb.com/rooms/43064172?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=18df9ab0-2484-4844-a51b-68b4964d5e57,,Entire villa in Kecamatan Ubud,2 guests,Studio,1 bed,1.5 baths,Pool,Wifi,Air conditioning,Kitchen,5.0,(7 reviews),$24,$120 total
Shimha Jungle Retreat,https://www.airbnb.com/rooms/4308075?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Private room in Ubud,2 guests,1 bedroom,1 bed,1 shared bath,Pool,Wifi,Air conditioning,,4.96,(212 reviews),$101,$503 total
Enjoy a second Honey Moon,https://www.airbnb.com/rooms/5243228?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.65,(152 reviews),$202,"$1,045 total"
Jiwa's House 01,https://www.airbnb.com/rooms/15874221?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Hotel room in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,,4.91,(68 reviews),$14,$60 total
Authentic Wooden 1 Bedroom Private Pool Villa,https://www.airbnb.com/rooms/50987775?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,,,$66,$329 total
70% Promo - Brand New 6BDR Ricefield View Villa,https://www.airbnb.com/rooms/46881603?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire villa in Kabupaten Gianyar,14 guests,6 bedrooms,9 beds,6 baths,Pool,Wifi,Air conditioning,Kitchen,4.94,(31 reviews),$768,"$3,839 total"
Special Price - Find Superb Views at This Private Bali Villa,https://www.airbnb.com/rooms/plus/28085635?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,PLUS,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,3 baths,Pool,Wifi,Kitchen,,5.0,(25 reviews),$399,"$1,997 total"
Candy Villa / Guava Villa,https://www.airbnb.com/rooms/34945983?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Entire villa in Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.75,(36 reviews),$95,$473 total
"Twin House Eco Villa Pool, Garden, Family Friendly",https://www.airbnb.com/rooms/43064064?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Entire villa in Kecamatan Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,5.0,(17 reviews),$62,$290 total
Tropica House 2 minutes from Ubud center,https://www.airbnb.com/rooms/43352159?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Entire residential home in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1.5 baths,Wifi,Air conditioning,Kitchen,,4.83,(6 reviews),$13,$64 total
Ceylon Villas 2 - NEW 2BR Villa! 5 mins to Ubud 🌴,https://www.airbnb.com/rooms/33692956?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.84,(68 reviews),$144,$731 total
Romantic 1BR surrounded by rice fields - Ubud,https://www.airbnb.com/rooms/51512296?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire villa in Kecamatan Tegallalang,2 guests,1 bedroom,1 bed,1 bath,Wifi,Air conditioning,,,,,$91,$453 total
Ubud Villa w/ Jungle View Pool | STERILIZIED,https://www.airbnb.com/rooms/41917238?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire guesthouse in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 bath,Pool,Wifi,Air conditioning,Kitchen,4.71,(14 reviews),$24,$122 total
Villa Amrita Ubud Bali One Bedroom,https://www.airbnb.com/rooms/813651?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Entire villa in Tegallalang,7 guests,1 bedroom,0 beds,2 baths,Pool,Wifi,Air conditioning,Kitchen,4.93,(67 reviews),$143,$713 total
Firefly Eco Lodge - Bamboo birdsnest level #1,https://www.airbnb.com/rooms/14024169?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Shared room in Ubud,2 guests,1 bedroom,1 bed,2 shared baths,Pool,Wifi,,,4.65,(330 reviews),$20,$99 total
Million$ Luxury Ricefield Views & Infinity Pool,https://www.airbnb.com/rooms/686817?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Entire villa in Ubud,4 guests,2 bedrooms,2 beds,2 baths,Pool,Wifi,Kitchen,,4.75,(196 reviews),$80,$399 total
""" Spacious Room With Private Pool """,https://www.airbnb.com/rooms/52174707?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,,Resort room in Ubud,2 guests,1 bedroom,1 bed,1 private bath,Pool,Wifi,Air conditioning,,,,$28,$140 total
Oasis in the middle of Ubud hustle bustle,https://www.airbnb.com/rooms/41802588?adults=2&check_in=2021-12-28&check_out=2022-01-02&previous_page_section_name=1000&translate_ugc=false&federated_search_id=ca32c409-9429-45fd-8228-6302fb586029,SUPERHOST,Private room in Kecamatan Ubud,2 guests,1 bedroom,1 bed,1 shared bath,Wifi,Air conditioning,Kitchen,,,,$14,$63 total
